Course Code,Course Name,2021 Round 1,2021 Round 2,2020 Round 1,2020 Round 2,2019 Round 1,2020 additional assessment,2019 additional assessment
AL802,Software Design in Artificial Intelligence for Clo,313  ,    ,332,,301,False,False
AL803,Software Design for Mobile Apps and Connected Devi,350  ,    ,337,,309,False,False
AL805,Computer Engineering for Network Infrastructure   ,321  ,    ,333,,329,False,False
AL810,Quantity Surveying                                ,328  ,    ,319,,307,False,False
AL811,Civil Engineering                                 ,     ,    ,320,,,False,False
AL820,Mechanical and Polymer Engineering                ,327  ,    ,308,,300,False,False
AL830,General Nursing                                   ,451 ,    444,442,,410,False,False
AL832,Mental Health Nursing                             ,440 ,    431,387,384,387,False,False
AL835,Pharmacology                                      ,356  ,    ,,,,,False
AL836,Nutrition and Health Science                      ,346  ,    ,334,,352,False,False
AL837,Sports Science with Exercise Physiology           ,357  ,    ,351,,351,False,False
AL838,Biotechnology                                     ,324  ,    ,307,,302,False,False
AL839,Microbiology                                      ,325  ,    ,325,,322,False,False
AL840,Pharmaceutical Sciences                           ,346  ,    ,347,,328,False,False
AL841,Athletic and Rehabilitation Therapy               ,477  ,    476,430,,423,False,False
AL842,Bioveterinary Science                             ,338  ,    ,313,,310,False,False
AL843,Physical Activity and Health Science              ,306  ,    ,306,,310,False,False
AL849,Culinary Entrepreneurship                         ,297  ,    ,,,,,False
AL850,Business                                          ,309  ,    ,309,,307,False,False
AL851,Business and Law                                  ,302  ,    ,295,,301,False,False
AL852,Accounting                                        ,336  ,    ,309,,290,False,False
AL854,Sport Management (with international placement)   ,300  ,    299,302,299,,False,False
AL855,Hospitality Management (with international placeme,309  ,    ,308,,312,False,False
AL857,Digital Marketing                                 ,304  ,    ,304,,300,False,False
AL859,International Business                            ,308  ,    ,,,,,False
AL860,Social Care Practice                              ,301  ,    ,300,,309,False,False
AL861,Animation and Illustration (portfolio)            ,575 ,    ,578,,615,True,True
AL863,Graphic and Digital Design (portfolio)            ,747 ,    ,781,,703,True,True
AL864,Early Years Care and Education                    ,306  ,    ,307,,307,False,False
AL870,Applied Psychology                                ,484 ,    467,418,,409,False,False
CW018,Business (options)                                ,307  ,    ,298,248,327,False,False
CW028,Early Childhood Education and Care                ,260  ,    ,252,,252,False,False
CW038,Art (portfolio)                                   ,700 ,    ,700,,700,True,True
CW058,Tourism and Event Management                      ,292  ,    ,298,,252,False,False
CW068,Applied Social Studies in Professional Social Care,250  ,    ,245,,251,False,False
CW078,Sustainable Farm Management and Agribusiness      ,270  ,    ,269,,266,False,False
CW088,Visual Communications and Design                  ,270  ,    ,274,,309,False,False
CW108,Science (options)                                 ,266  ,    ,261,,261,False,False
CW128,Brewing and Distilling                            ,307  ,    ,263,,271,False,False
CW138,Sport and Exercise Science                        ,430  ,    423,423,,,False,False
CW148,Strength and Conditioning                         ,388  ,    ,379,,,False,False
CW188,Sport Rehabilitation and Athletic Therapy         ,451  ,    ,451,448,454,False,False
CW208,Computer Games Development                        ,272  ,    ,279,,281,False,False
CW238,Software Development                              ,295  ,    ,297,,300,False,False
CW248,Information Technology Management                 ,293  ,    ,285,,307,False,False
CW258,Cybercrime and IT Security                        ,292  ,    ,293,,300,False,False
CW268,Computing in Interactive Digital Art and Design   ,291  ,    ,287,,274,False,False
CW438,Construction (options)                            ,260  ,    251,272,,271,False,False
CW468,Architectural Technology                          ,291  ,    283,262,,252,False,False
CW478,Civil Engineering                                 ,465  ,    ,433,,348,False,False
CW548,Mechanical Engineering                            ,330  ,    328,321,,310,False,False
CW558,Electronic Systems                                ,280  ,    ,280,,279,False,False
CW568,Aerospace Engineering                             ,371  ,    359,380,,366,False,False
CW578,TV and Media Production                           ,318  ,    ,325,,327,False,False
CW708,Law - LLB                                         ,292  ,    ,302,,298,False,False
CW728,Product Design Innovation                         ,246  ,    ,252,,286,False,False
CW748,Early Childhood Education and Care                ,290  ,    ,270,,265,False,False
CW758,Professional Social Care Practice                 ,360  ,    358,336,,290,False,False
CW808,Media and Public Relations                        ,247  ,    ,251,,248,False,False
CW848,Digital Marketing with Analytics                  ,269  ,    ,254,,279,False,False
CW858,Sports Management and Coaching (options  portfolio,700 ,    ,700,,700,True,True
CW908,Business (options)                                ,272  ,    ,280,,260,False,False
CW938,Business with Law                                 ,270  ,    ,283,,270,False,False
CW948,Accounting                                        ,319  ,    ,300,,301,False,False
PC405,Social  Political and Community Studies           ,263  ,    235,253,216,251,False,False
PC410,Arts and Humanities (fulfils Teaching Council requ,262  ,    230,252,209,203,False,False
PC411,English and History (fulfils Teaching Council requ,243  ,    224,255,209,168,False,False
CR105,Chemical and Biopharmaceutical Engineering        ,443  ,    ,443,,432,False,False
CR106,Software Development                              ,431  ,    ,411,,351,False,False
CR108,Mechanical Engineering                            ,434  ,    ,434,,425,False,False
