Course Code,Course Name,2021 Round 1,2021 Round 2,2020 Round 1,2020 Round 2,2019 Round 1,2021 assessment,2020 assessment,2019 assessment
AL802,SoftwareDesigninArtificialIntelligenceforClo,313,NaN,332,,301,False,False,False
AL803,SoftwareDesignforMobileAppsandConnectedDevi,350,NaN,337,,309,False,False,False
AL805,ComputerEngineeringforNetworkInfrastructure,321,NaN,333,,329,False,False,False
AL810,QuantitySurveying,328,NaN,319,,307,False,False,False
AL811,CivilEngineering,NaN,NaN,320,,,False,False,False
AL820,MechanicalandPolymerEngineering,327,NaN,308,,300,False,False,False
AL830,GeneralNursing,451,444,442,,410,False,False,False
AL832,MentalHealthNursing,440,431,387,384,387,False,False,False
AL835,Pharmacology,356,NaN,,,,False,,False
AL836,NutritionandHealthScience,346,NaN,334,,352,False,False,False
AL837,SportsSciencewithExercisePhysiology,357,NaN,351,,351,False,False,False
AL838,Biotechnology,324,NaN,307,,302,False,False,False
AL839,Microbiology,325,NaN,325,,322,False,False,False
AL840,PharmaceuticalSciences,346,NaN,347,,328,False,False,False
AL841,AthleticandRehabilitationTherapy,477,476,430,,423,False,False,False
AL842,BioveterinaryScience,338,NaN,313,,310,False,False,False
AL843,PhysicalActivityandHealthScience,306,NaN,306,,310,False,False,False
AL849,CulinaryEntrepreneurship,297,NaN,,,,False,,False
AL850,Business,309,NaN,309,,307,False,False,False
AL851,BusinessandLaw,302,NaN,295,,301,False,False,False
AL852,Accounting,336,NaN,309,,290,False,False,False
AL854,SportManagement(withinternationalplacement),300,299,302,299,,False,False,False
AL855,HospitalityManagement(withinternationalplaceme,309,NaN,308,,312,False,False,False
AL857,DigitalMarketing,304,NaN,304,,300,False,False,False
AL859,InternationalBusiness,308,NaN,,,,False,,False
AL860,SocialCarePractice,301,NaN,300,,309,False,False,False
AL861,AnimationandIllustration(portfolio),575,NaN,578,,615,True,True,True
AL863,GraphicandDigitalDesign(portfolio),747,NaN,781,,703,True,True,True
AL864,EarlyYearsCareandEducation,306,NaN,307,,307,False,False,False
AL870,AppliedPsychology,484,467,418,,409,False,False,False
CW018,Business(options),307,NaN,298,248,327,False,False,False
CW028,EarlyChildhoodEducationandCare,260,NaN,252,,252,False,False,False
CW038,Art(portfolio),700,NaN,700,,700,True,True,True
CW058,TourismandEventManagement,292,NaN,298,,252,False,False,False
CW068,AppliedSocialStudiesinProfessionalSocialCare,250,NaN,245,,251,False,False,False
CW078,SustainableFarmManagementandAgribusiness,270,NaN,269,,266,False,False,False
CW088,VisualCommunicationsandDesign,270,NaN,274,,309,False,False,False
CW108,Science(options),266,NaN,261,,261,False,False,False
CW128,BrewingandDistilling,307,NaN,263,,271,False,False,False
CW138,SportandExerciseScience,430,423,423,,,False,False,False
CW148,StrengthandConditioning,388,NaN,379,,,False,False,False
CW188,SportRehabilitationandAthleticTherapy,451,NaN,451,448,454,False,False,False
CW208,ComputerGamesDevelopment,272,NaN,279,,281,False,False,False
CW238,SoftwareDevelopment,295,NaN,297,,300,False,False,False
CW248,InformationTechnologyManagement,293,NaN,285,,307,False,False,False
CW258,CybercrimeandITSecurity,292,NaN,293,,300,False,False,False
CW268,ComputinginInteractiveDigitalArtandDesign,291,NaN,287,,274,False,False,False
CW438,Construction(options),260,251,272,,271,False,False,False
CW468,ArchitecturalTechnology,291,283,262,,252,False,False,False
CW478,CivilEngineering,465,NaN,433,,348,False,False,False
CW548,MechanicalEngineering,330,328,321,,310,False,False,False
CW558,ElectronicSystems,280,NaN,280,,279,False,False,False
CW568,AerospaceEngineering,371,359,380,,366,False,False,False
CW578,TVandMediaProduction,318,NaN,325,,327,False,False,False
CW708,Law-LLB,292,NaN,302,,298,False,False,False
CW728,ProductDesignInnovation,246,NaN,252,,286,False,False,False
CW748,EarlyChildhoodEducationandCare,290,NaN,270,,265,False,False,False
CW758,ProfessionalSocialCarePractice,360,358,336,,290,False,False,False
CW808,MediaandPublicRelations,247,NaN,251,,248,False,False,False
CW848,DigitalMarketingwithAnalytics,269,NaN,254,,279,False,False,False
