,Course Code,Course Name,2020 Round 1,2020 Round 2
0,AC120,International Business,209,
1,AC137,Liberal Arts,252,
2,AD101,"First Year Art & Design (Common Entry,portfolio)",#+matric,
3,AD102,Graphic Design and Moving Image Design (portfolio),#+matric,
4,AD103,Textile & Surface Design and Jewellery & Objects (portfolio),#+matric,
5,AD202,"Education & Design or Fine Art (Second Level Teaching,portfolio))",#+matric,
6,AD204,Fine Art (portfolio),#+matric,
7,AD211,Fashion Design (portfolio),#+matric,
8,AD212,Product Design (portfolio),#+matric,
9,AD215,Visual Culture,377,320
10,AD217,Illustration (portfolio),#+matric,
11,AD222,Interaction Design (portfolio),#+matric,
12,AL600,Software Design,AQA,
13,AL601,Computer Engineering,AQA,219
14,AL602,Mechanical Engineering,AQA,
15,AL604,Civil Engineering,AQA,AQA
16,AL605,Music and Instrument Technology,AQA,AQA
17,AL630,Pharmacy Technician,295,
18,AL631,Dental Nursing,300,298
19,AL632,Applied Science,234,
20,AL650,Business,207,
21,AL660,Culinary Arts,AQA,AQA
22,AL661,Bar Supervision,AQA,AQA
23,AL663,Business (Sport and Recreation),AQA,AQA
24,AL701,Computer Engineering with Network Infrastructure,216,
25,AL702,Software Design with Artificial Intelligence for Cloud Computing,214,
26,AL703,Software Design with Virtual Reality and Gaming,216,
27,AL704,Computer Engineering,204,
28,AL705,Software Design with Mobile Apps and Connected Devices,216,
29,AL710,Mechanical Engineering,223,
30,AL711,Mechanical Engineering and Renewable Energy,228,
31,AL712,Automation and Robotics,252,
32,AL713,Engineering (Common Entry to Mechanical/Renewable/Mechatronic Eng),218,
33,AL718,Music and Sound Engineering,214,
34,AL721,Civil Engineering,233,
35,AL730,Biotechnology,250,
36,AL731,Veterinary Nursing,400,
37,AL734,Pharmaceutical Sciences (Drug Development and Analysis),244,
38,AL740,Exercise and Health Science,250,
39,AL751,Digital Marketing,241,
40,AL752,Business,225,
41,AL761,Hotel and Leisure Management,208,
42,AL763,Graphic Design (portfolio),781,
43,AL764,Early Years Care and Education,260,
44,AL765,Applied Social Studies in Social Care,280,
45,AL801,Software Design with Virtual Reality and Gaming,303,
46,AL802,Software Design with Artificial Intelligence for Cloud Computing,332,
47,AL803,Software Design with Mobile Apps and Connected Devices,337,
48,AL805,Computer Engineering with Network Infrastructure,333,
49,AL810,Quantity Surveying,319,
50,AL811,Civil Engineering,320,
51,AL820,Mechanical and Polymer Engineering,308,
52,AL830,General Nursing,442,
53,AL832,Psychiatric Nursing,387,384
54,AL836,Nutrition and Health Science,334,
55,AL837,Sports Science with Exercise Physiology,351,
56,AL838,Biotechnology,307,
57,AL839,Microbiology,325,
58,AL840,Pharmaceutical Sciences,347,
59,AL841,Athletic and Rehabilitation Therapy,430,
60,AL842,Bioveterinary Science,313,
61,AL843,Physical Activity and Health Science,306,
62,AL850,Business,309,
63,AL851,Business and Law,295,
64,AL852,Accounting,309,
65,AL854,Sport Management (with international placement),302,299
66,AL855,Hospitality Management (with international placement),308,
67,AL857,Digital Marketing,304,
68,AL860,Social Care Practice,300,
69,AL861,Animation and Illustration (portfolio),578,
70,AL863,Graphic and Digital Design (portfolio),781,
71,AL864,Early Years Care and Education,307,
72,AL870,Applied Psychology,418,
73,AS001,"Education, Home Economics and Biology - with concurrent Teacher Ed",510,
74,AS002,"Education, Home Economics and Religious Ed - with concurrent Teacher Ed",441,434
75,AS003,"Education, Home Economics and Irish - with concurrent Teacher Ed",440,440
76,AS051,"Nutrition, Food and Business Management",328,317
77,AS054,Home Economics,408,398
78,AS110,General Nursing,419,
79,AS130,Intellectual Disability Nursing,336,328
80,CI001,Counselling Skills and Psychotherapy Studies,300,
81,CI002,Counselling Skills and Addiction Studies,309,
82,CI005,Counselling Skills and Youth Studies,306,302
83,CI110,Counselling and Psychotherapy,310,
84,CI111,Counselling and Addiction Studies,301,
85,CI112,Counselling and Youth Studies,311,
86,CK101,Arts - 3 years,300,
87,CK102,Social Science,412,
88,CK104,Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway),302,
89,CK105,Film and Screen Media - 3 years or 4 years (International Pathway),368,337
90,CK107,Geographical and Archaeological Sciences - 3 or 4 years (Int`l Pathway),328,
91,CK108,Arts International - 4 years,401,
92,CK109,English - 3 years or 4 years (International Pathway),318,
93,CK110,World Languages,452,433
94,CK111,Early Years and Childhood Studies,419,
95,CK112,Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),330,
96,CK113,Criminology - 3 years or 4 years (International Pathway),423,
97,CK114,Social Science (Youth and Community Work) - 3 years,,
98,CK115,Social Work - Mature Applicants only,,
99,CK118,Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),336,
100,CK120,Applied Psychology,533,532
101,CK121,Psychology and Computing - 3 or 4 years (Work Experience Pathway),466,
102,CK122,Government and Political Science,337,328
103,CK123,Anthropology,308,
104,CK124,Education - Gaeilge,463,462
105,CK125,Sports Studies and Physical Education,510,509
106,CK201,Commerce,477,
107,CK202,Accounting,509,
108,CK203,Business Information Systems,430,
109,CK204,Finance,556,
110,CK205,Commerce (International) with French,445,
111,CK206,Commerce (International) with German,420,418
112,CK207,Commerce (International) with Italian,388,
113,CK208,Commerce (International) with Hispanic Studies,402,
114,CK209,Commerce (International) with Irish,484,
115,CK211,Commerce (International) with Chinese Studies,397,
116,CK212,Economics (through Transformational Learning) 3 or 4 years Int`l Pathway,444,
117,CK213,Food Marketing and Entrepreneurship,462,
118,CK214,International Development,346,
119,CK301,Law (Pathways) -  3 or 4 years,507,499
120,CK302,Law and French,542,
121,CK304,Law and Irish,540,
122,CK307,Law and Business,556,
123,CK401,Computer Science,468,
124,CK402,Biological and Chemical Sciences,510,509
125,CK404,"Biological, Earth and Environmental Sciences",467,
126,CK405,Genetics,487,
127,CK406,Chemical Sciences,485,472
128,CK407,Mathematical Sciences,566,565
129,CK408,Physics and Astrophysics,554,542
130,CK409,Industrial Physics - Offered jointly by UCC and CIT,432,
131,CK411,Data Science and Analytics,510,
132,CK412,Agricultural Science,496,496
133,CK504,Nutritional Sciences,518,
134,CK505,Food Science,441,440
135,CK600,Engineering,487,
136,CK606,Architecture - Offered jointly by UCC and CIT,484,476
137,CK701,Medicine (Undergraduate Entry - HPAT required),731,
138,CK702,Dentistry,613,613
139,CK703,Pharmacy,590,589
140,CK704,Occupational Therapy,566,555
141,CK705,Speech and Language Therapy,520,
142,CK706,Public Health Sciences,454,
143,CK707,Medical and Health Sciences,542,541
144,CK710,General Nursing,454,
145,CK712,Children`s and General Nursing (Integrated),533,
146,CK720,Mental Health Nursing,423,
147,CK730,Intellectual Disability Nursing,419,411
148,CK740,Midwifery,484,
149,CK791,Medicine  - Graduate Entry (GAMSAT required),57,
150,CM001,Education - Primary Teaching,484,
151,CM002,Education - Primary Teaching - Gaeltacht Applicants,,
152,CM003,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge – Gaeltacht,528,
153,CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge – Gaeltacht,494,
154,CM010,Education Studies,319,
155,CM020,Early Childhood Education,327,
156,CR001,Applied Physics and Instrumentation,250,
157,CR006,Applied Biosciences,361,
158,CR007,Analytical and Pharmaceutical Chemistry,240,
159,CR010,Agriculture (Year 1 - 2 days in Clonakilty Agri College & 3 days in CIT),321,
160,CR016,Software Development,307,
161,CR021,Business (Common Entry),255,
162,CR022,Business Administration,190,
163,CR031,Social Care Work,346,
164,CR032,Recreation and Leisure Management,298,
165,CR035,Community Development,100,
166,CR041,Tourism Management,216,
167,CR042,Hospitality Management,208,
168,CR046,Automotive Technology and Management,216,
169,CR051,Civil Engineering,248,
170,CR052,Construction,251,
171,CR053,Interior Architecture,308,
172,CR055,Environmental Engineering,258,
173,CR061,Electronic Engineering,260,
174,CR062,Electrical Engineering,300,
175,CR071,Mechanical Engineering,261,
176,CR075,Biomedical Engineering,306,
177,CR090,Architectural Technology,266,
178,CR094,Nautical Science at National Maritime College of Ireland,243,
179,CR095,Marine Engineering at National Maritime College of Ireland,255,
180,CR105,Chemical and Biopharmaceutical Engineering,443,
181,CR106,Software Development,411,
182,CR108,Mechanical Engineering,434,
183,CR109,Structural Engineering,394,
184,CR110,Automotive Business Management and Technology,311,
185,CR112,Creative Digital Media,361,
186,CR116,Computer Systems,332,
187,CR121,Music at CIT Cork School of Music,868,
188,CR125,Popular Music: Electric Bass Guitar at CIT Cork School of Music,1088,
189,CR126,Popular Music: Drums at CIT Cork School of Music,801,
190,CR127,Popular Music: Electric Guitar at CIT Cork School of Music,838,768
